Date,Open,High,Low,Close,Adj Close,Volume
2022-04-15,0.932529,0.957988,0.932474,0.954717,0.954717,574655010
2022-04-16,0.954704,0.961081,0.939852,0.952640,0.952640,468473785
2022-04-17,0.952531,0.961512,0.915346,0.917466,0.917466,528371933
2022-04-18,0.917509,0.937368,0.877736,0.936730,0.936730,1105222191
2022-04-19,0.936762,0.954662,0.928201,0.953333,0.953333,777142382
2022-04-20,0.953325,0.974735,0.932510,0.937341,0.937341,828312845
2022-04-21,0.937272,0.969453,0.896912,0.910474,0.910474,871111347
2022-04-22,0.910335,0.923741,0.893973,0.907154,0.907154,725788912
2022-04-23,0.907185,0.910614,0.884660,0.888503,0.888503,447997661
2022-04-24,0.888279,0.897855,0.881857,0.886350,0.886350,487629549
2022-04-25,0.886330,0.886330,0.830469,0.843732,0.843732,818949568
